时间(分钟),信号值(微伏)
2.1333,-6062
2.1360,-6064
2.1387,-6063
2.1413,-6064
2.1440,-6065
2.1467,-6065
2.1493,-6064
2.1520,-6063
2.1547,-6062
2.1573,-6063
2.1600,-6062
2.1627,-6062
2.1653,-6063
2.1680,-6064
2.1707,-6063
2.1733,-6063
2.1760,-6062
2.1787,-6062
2.1813,-6062
2.1840,-6062
2.1867,-6063
2.1893,-6063
2.1920,-6064
2.1947,-6063
2.1973,-6063
2.2000,-6063
2.2027,-6063
2.2053,-6062
2.2080,-6062
2.2107,-6063
2.2133,-6063
2.2160,-6062
2.2187,-6062
2.2213,-6062
2.2240,-6061
2.2267,-6062
2.2293,-6062
2.2320,-6061
2.2347,-6061
2.2373,-6061
2.2400,-6062
2.2427,-6061
2.2453,-6061
2.2480,-6061
2.2507,-6060
2.2533,-6060
2.2560,-6061
2.2587,-6060
2.2613,-6060
2.2640,-6061
2.2667,-6060
2.2693,-6059
2.2720,-6060
2.2747,-6060
2.2773,-6061
2.2800,-6061
2.2827,-6060
2.2853,-6059
2.2880,-6060
2.2907,-6059
2.2933,-6060
2.2960,-6060
2.2987,-6060
2.3013,-6058
2.3040,-6059
2.3067,-6059
2.3093,-6060
2.3120,-6060
2.3147,-6060
2.3173,-6059
2.3200,-6059
2.3227,-6058
2.3253,-6059
2.3280,-6058
2.3307,-6059
2.3333,-6060
2.3360,-6059
2.3387,-6059
2.3413,-6060
2.3440,-6061
2.3467,-6061
2.3493,-6059
2.3520,-6060
2.3547,-6060
2.3573,-6060
2.3600,-6060
2.3627,-6061
2.3653,-6060
2.3680,-6061
2.3707,-6061
2.3733,-6061
2.3760,-6062
2.3787,-6062
2.3813,-6060
2.3840,-6061
2.3867,-6061
2.3893,-6061
2.3920,-6061
2.3947,-6060
2.3973,-6061
2.4000,-6060
2.4027,-6060
2.4053,-6059
2.4080,-6059
2.4107,-6059
2.4133,-6059
2.4160,-6059
2.4187,-6059
2.4213,-6059
2.4240,-6059
2.4267,-6059
2.4293,-6059
2.4320,-6059
2.4347,-6059
2.4373,-6059
2.4400,-6059
2.4427,-6059
2.4453,-6059
2.4480,-6058
2.4507,-6058
2.4533,-6058
2.4560,-6058
2.4587,-6060
2.4613,-6059
2.4640,-6058
2.4667,-6058
2.4693,-6059
2.4720,-6059
2.4747,-6057
2.4773,-6057
2.4800,-6056
2.4827,-6057
2.4853,-6057
2.4880,-6057
2.4907,-6057
2.4933,-6057
2.4960,-6057
2.4987,-6057
2.5013,-6057
2.5040,-6057
2.5067,-6057
2.5093,-6057
2.5120,-6056
2.5147,-6056
2.5173,-6056
2.5200,-6056
2.5227,-6055
2.5253,-6057
2.5280,-6057
2.5307,-6057
2.5333,-6057
2.5360,-6056
2.5387,-6056
2.5413,-6056
2.5440,-6057
2.5467,-6056
2.5493,-6055
2.5520,-6055
2.5547,-6055
2.5573,-6056
2.5600,-6056
2.5627,-6055
2.5653,-6055
2.5680,-6054
2.5707,-6054
2.5733,-6054
2.5760,-6055
2.5787,-6055
2.5813,-6055
2.5840,-6055
2.5867,-6055
2.5893,-6055
2.5920,-6054
2.5947,-6054
2.5973,-6054
2.6000,-6054
2.6027,-6054
2.6053,-6054
2.6080,-6054
2.6107,-6053
2.6133,-6054
2.6160,-6054
2.6187,-6054
2.6213,-6054
2.6240,-6054
2.6267,-6055
2.6293,-6055
2.6320,-6054
2.6347,-6054
2.6373,-6054
2.6400,-6054
2.6427,-6053
2.6453,-6052
2.6480,-6054
2.6507,-6054
2.6533,-6053
2.6560,-6053
2.6587,-6054
2.6613,-6054
2.6640,-6054
2.6667,-6054
2.6693,-6053
2.6720,-6054
2.6747,-6052
2.6773,-6053
2.6800,-6053
2.6827,-6052
2.6853,-6053
2.6880,-6054
2.6907,-6053
2.6933,-6054
2.6960,-6055
2.6987,-6054
2.7013,-6054
2.7040,-6054
2.7067,-6054
2.7093,-6052
2.7120,-6051
2.7147,-6054
2.7173,-6053
2.7200,-6053
2.7227,-6053
2.7253,-6054
2.7280,-6054
2.7307,-6052
2.7333,-6053
2.7360,-6055
2.7387,-6054
2.7413,-6053
2.7440,-6054
2.7467,-6054
2.7493,-6053
2.7520,-6054
2.7547,-6052
2.7573,-6053
2.7600,-6053
2.7627,-6055
2.7653,-6054
2.7680,-6053
2.7707,-6053
2.7733,-6053
2.7760,-6052
2.7787,-6052
2.7813,-6053
2.7840,-6052
2.7867,-6052
2.7893,-6052
2.7920,-6052
2.7947,-6054
2.7973,-6054
2.8000,-6053
2.8027,-6054
2.8053,-6054
2.8080,-6052
2.8107,-6053
2.8133,-6054
2.8160,-6052
2.8187,-6052
2.8213,-6053
2.8240,-6052
2.8267,-6053
2.8293,-6053
2.8320,-6052
2.8347,-6053
2.8373,-6053
2.8400,-6053
2.8427,-6053
2.8453,-6053
2.8480,-6052
2.8507,-6053
2.8533,-6053
2.8560,-6053
2.8587,-6055
2.8613,-6054
2.8640,-6054
2.8667,-6055
2.8693,-6055
2.8720,-6056
2.8747,-6054
2.8773,-6052
2.8800,-6054
2.8827,-6054
2.8853,-6054
2.8880,-6054
2.8907,-6054
2.8933,-6054
2.8960,-6055
2.8987,-6055
2.9013,-6055
2.9040,-6054
2.9067,-6055
2.9093,-6056
2.9120,-6056
2.9147,-6056
2.9173,-6056
2.9200,-6056
2.9227,-6055
2.9253,-6055
2.9280,-6056
2.9307,-6056
2.9333,-6057
2.9360,-6056
2.9387,-6056
2.9413,-6057
2.9440,-6057
2.9467,-6056
2.9493,-6057
2.9520,-6057
2.9547,-6057
2.9573,-6057
2.9600,-6056
2.9627,-6057
2.9653,-6058
2.9680,-6056
2.9707,-6056
2.9733,-6057
2.9760,-6056
2.9787,-6057
2.9813,-6057
2.9840,-6057
2.9867,-6058
2.9893,-6057
2.9920,-6057
2.9947,-6058
2.9973,-6058
3.0000,-6058
3.0027,-6058
3.0053,-6058
3.0080,-6058
3.0107,-6059
3.0133,-6059
3.0160,-6059
3.0187,-6059
3.0213,-6060
3.0240,-6060
3.0267,-6060
3.0293,-6060
3.0320,-6060
3.0347,-6061
3.0373,-6061
3.0400,-6061
3.0427,-6061
3.0453,-6061
3.0480,-6061
3.0507,-6061
3.0533,-6061
3.0560,-6061
3.0587,-6061
3.0613,-6062
3.0640,-6062
3.0667,-6062
3.0693,-6063
3.0720,-6064
3.0747,-6063
3.0773,-6063
3.0800,-6063
3.0827,-6064
3.0853,-6064
3.0880,-6065
3.0907,-6064
3.0933,-6064
3.0960,-6065
3.0987,-6065
3.1013,-6067
3.1040,-6066
3.1067,-6066
3.1093,-6066
3.1120,-6066
3.1147,-6067
3.1173,-6068
3.1200,-6067
3.1227,-6067
3.1253,-6068
3.1280,-6068
3.1307,-6068
3.1333,-6068
3.1360,-6068
3.1387,-6068
3.1413,-6069
3.1440,-6069
3.1467,-6069
3.1493,-6069
3.1520,-6069
3.1547,-6069
3.1573,-6070
3.1600,-6070
3.1627,-6070
3.1653,-6070
3.1680,-6070
3.1707,-6070
